"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","C1, C4","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"2","2","C2, C3","27p","Device:C","Capacitor_SMD:C_0402_1005Metric","~"
"3","20","C5, C6, C7, C9, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~"
"4","2","C8, C10","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~"
"5","10","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10","SK6812MINI","LED:SK6812MINI","LED_SMD:LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf"
"6","1","J1","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"8","2","R1, R5","1k","Device:R","Capacitor_SMD:C_0402_1005Metric","~"
"10","2","R3, R4","27","Device:R","Capacitor_SMD:C_0402_1005Metric","~"
"11","2","R6, R7","5.11k","Device:R","Resistor_SMD:R_0402_1005Metric","~"
"23","2","SW11, SW12","","Switch:SW_Push","Button_Switch_SMD:SW_SPST_PTS810","~"
"25","1","U1","NCP1117-3.3_SOT223","Regulator_Linear:NCP1117-3.3_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF"
"26","1","U2","W25Q128JVS","Memory_Flash:W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"27","1","U3","RP2040","MCU_RaspberryPi_RP2040:RP2040","RP2040_minimal:RP2040-QFN-56",""
"28","1","Y1","ABLS-12.000MHZ-B4-T","Device:Crystal","RP2040_minimal:Crystal_SMD_HC49-US","~"
